id,Handle,recipe_name,Body (HTML),Vendor,ingredients,recipe_urls
25,cotton-matka-embroidery-fabric-34,Cotton Matka Embroidery Fabric,Saroj Fabrics,Embroidered Cotton,Seagreen Matka silk with white small floral embroidery spread apart,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-06-18at13.38.03.jpg?v=1624277189
31,cotton-matka-embroidery-fabric-25,Cotton Matka Embroidery Fabric,Saroj Fabrics,Embroidered Cotton,sunshine yellow Matka silk with white small floral embroidery spread apart,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-06-18at13.37.38.jpg?v=1624273627
43,georgette-luckhnowi-embroidery-fabric-18,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Aqua Blue georgette heavy embroidery in lighter blue,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.35.jpg?v=1622268176
44,georgette-luckhnowi-embroidery-fabric-17,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Sage Green georgette heavy embroidery in lighter green,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.34.jpg?v=1622268146
51,georgette-luckhnowi-embroidery-fabric-14,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Light Aqua Blue georgette heavy embroidery in lighter blue,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.24.jpg?v=1622267873
54,georgette-luckhnowi-embroidery-fabric-7,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Baby Pink georgette heavy embroidery in lighter pink,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.22.jpg?v=1622267720
57,georgette-luckhnowi-embroidery-fabric-5,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Beige georgette  heavy embroidery in off white ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.19.jpg?v=1622267649
60,georgette-luckhnowi-embroidery-fabric,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Taupe  georgette  heavy embroidery in off white ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.14.jpg?v=1622267314
87,modal-satin-printed-fabric-2,Modal Satin Printed Fabric,Saroj Fabrics,Printed Satin Linen,"Gray, orange, white, brown and sea green printed Satin linen",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-27at12.39.00PM_6.jpg?v=1617095513
113,linen-embroidery-fabric-6,Linen Embroidery Fabric,Saroj Fabrics,Embroidered Linen,Gray body with pink and green embroidery Linen ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-18at3.19.46PM_14.jpg?v=1616491179
116,benarsi-dupion-silk-brocade-fabric,Benarsi Dupion Silk Brocade Fabric,Saroj Fabrics,Silk Brocade,"Plum, purple with  gold small flower brocade benarsi dupion silk",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.20PM_11.jpg?v=1616051888
118,dupion-silk-zari-brocade-fabric-2,Dupion Silk Zari Brocade Fabric,Saroj Fabrics,Brocade,Red with gold leaf zari brocade  silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.20PM_8.jpg?v=1616051796
120,dupion-silk-zari-brocade-fabric-1,Dupion Silk Zari Brocade Fabric,Saroj Fabrics,Brocade,Navy blue with gold leaf zari brocade  silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.20PM_5.jpg?v=1616051684
122,ektara-brocade-fabric-2,Ektara Brocade Fabric,Saroj Fabrics,Brocade,Black with gold brocade on silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.35PM_6.jpg?v=1616051411
124,benarsi-brocade-fabric-2,Benarsi Brocade Fabric,Saroj Fabrics,Brocade,Salmon Pink and maroonand gold  brocade on benarsi silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.35PM_3.jpg?v=1616051211
126,benarsi-brocade-fabric-1,Benarsi Brocade Fabric,Saroj Fabrics,Brocade,Sunshine yellow with maroon and gold brocade on benarsi silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.35PM.jpg?v=1616050882
128,katan-silk-brocade-fabric-3,Katan Silk Brocade Fabric,Saroj Fabrics,Brocade,Lotus Pink with mutted gold brocade on katan silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM_12.jpg?v=1616050036
130,katan-silk-brocade-fabric-2,Katan Silk Brocade Fabric,Saroj Fabrics,Brocade,Sea Green with mutted gold brocade on katan silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM_9.jpg?v=1616049873
132,katan-silk-brocade-fabric-1,Katan Silk Brocade Fabric,Saroj Fabrics,Brocade,Bright Lemon Yellow with mutted gold brocade on katan silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM_6.jpg?v=1616049348
134,benarsi-resham-brocade-fabric-1,Benarsi Resham Brocade Fabric,Saroj Fabrics,Brocade,Taupe with pink  and  white silk thread brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM_3.jpg?v=1616048498
136,benarsi-brocade-fabric,Benarsi Brocade Fabric,Saroj Fabrics,Brocade,Red with white silk thread brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM.jpg?v=1616048144
138,benarsi-resham-brocade-fabric,Benarsi Resham Brocade Fabric,Saroj Fabrics,Brocade,Peridot green with pink  and white silk  thread brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.44PM_3.jpg?v=1616048004
140,iktara-zari-brocade-fabric-4,Iktara Zari Brocade Fabric,Saroj Fabrics,Brocade,Mustard Yellow with zari and maroon brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.44PM.jpg?v=1616047818
142,ektara-brocade-fabric-1,Ektara Brocade Fabric,Saroj Fabrics,Brocade,Pinkish Red with white leaf pattern brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM_12.jpg?v=1616047727
144,ektara-brocade-fabric,Ektara Brocade Fabric,Saroj Fabrics,Brocade,Purple with green and white leaf pattern brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM_9.jpg?v=1616047578
146,iktara-zari-brocade-fabric-3,Iktara Zari Brocade Fabric,Saroj Fabrics,Brocade,Fuschia Purple with shocking pink and zari brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM_6.jpg?v=1616047421
148,iktara-zari-brocade-fabric-2,Iktara Zari Brocade Fabric,Saroj Fabrics,Brocade,Red with Red and Zari brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM_3.jpg?v=1616047245
150,iktara-zari-brocade-fabric-1,Iktara Zari Brocade Fabric,Saroj Fabrics,Brocade,Mightnight blue with navy and Zari brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM.jpg?v=1616047173
152,iktara-zari-brocade-fabric,Iktara Zari Brocade Fabric,Saroj Fabrics,Brocade,Pinkish red with fuschia pink and zari brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.42PM_6.jpg?v=1616047022
154,katan-silk-brocade-fabric,Katan Silk Brocade Fabric,Saroj Fabrics,Brocade,Mauve purple with gold brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.42PM_1.jpg?v=1615984549
156,cotton-embroidered-fabric-4,Cotton Embroidered Fabric,Saroj Fabrics,Embroidered Cotton,White embroided and cut work on cotton,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-11at5.57.37PM_26.jpg?v=1615976213
159,chanderi-bandhani-embroidery-fabric-7,Chanderi Bandhani Embroidery Fabric,Saroj Fabrics,Embroidered Chanderi,Dark green with white and yello bhandi and gold flower embroidery on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-12at3.38.10PM_1.jpg?v=1615973362
161,chanderi-bandhani-embroidery-fabric-3,Chanderi Bandhani Embroidery Fabric,Saroj Fabrics,Embroidered Chanderi,Mustard yellow with white and pink bhandhani and gold embroidery on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-12at3.38.07PM.jpg?v=1615972302
163,chanderi-bandhani-embroidery-fabric-2,Chanderi Bandhani Embroidery Fabric,Saroj Fabrics,Embroidered Chanderi,Midnight Blue with white and pink bhandhni and gold flower embroidery on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-12at3.38.06PM_1.jpg?v=1615972079
165,chanderi-bandhani-embroidery-fabric-1,Chanderi Bandhani Embroidery Fabric,Saroj Fabrics,Embroidered Chanderi,Navy blue with white and pink bandhani and gold long motif embroidery on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-12at3.38.04PM_2.jpg?v=1615971598
192,brocade-fabric-23,Brocade Fabric,Saroj Fabrics,Brocade,"Parrot green with turquoise, gold and purple brocade in marquis shape on silk",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.13PM_1.jpg?v=1615309702
194,brocade-fabric-22,Brocade Fabric,Saroj Fabrics,Brocade,Aubergine purple with mutted and bright gold flower motif brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_8.jpg?v=1615309654
196,brocade-fabric-21,Brocade Fabric,Saroj Fabrics,Brocade,Royal blue with mutted and bright gold flower motif brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_5.jpg?v=1615309534
198,brocade-fabric-20,Brocade Fabric,Saroj Fabrics,Brocade,Teal with silver and gold flower with stem brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.47.26PM_16.jpg?v=1615309494
200,brocade-fabric-19,Brocade Fabric,Saroj Fabrics,Brocade,Taupe with silver and gold flower with stem brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_11.jpg?v=1615309217
202,brocade-fabric-17,Brocade Fabric,Saroj Fabrics,Brocade,Black with silver and gold flower with stem brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_2.jpg?v=1615309031
204,brocade-fabric-16,Brocade Fabric,Saroj Fabrics,Brocade,Bright with gold flower with stem brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.46.47PM_22.jpg?v=1615308982
206,brocade-fabric-25,Brocade Fabric,Saroj Fabrics,Brocade,Peridot with muted gold  and silver flower motif brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.47.27PM_8.jpg?v=1615308930
208,silk-brocade-fabric-24,Silk Brocade Fabric,Saroj Fabrics,Brocade,Old gold with muted gold flower brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_15.jpg?v=1615308848
210,silk-brocade-fabric-20,Silk Brocade Fabric,Saroj Fabrics,Brocade,"Black with orange, pink, silver and gold all over flower and scroll brocade silk",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.13PM_7.jpg?v=1615308609
212,silk-brocade-fabric-19,Silk Brocade Fabric,Saroj Fabrics,Brocade,Maroon Red with gold flower and stem motif brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.46.47PM_4.jpg?v=1615308498
214,silk-brocade-fabric-15,Silk Brocade Fabric,Saroj Fabrics,Brocade,"Fuchia pink with all over gold, purple, green and red motif brocade silk",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.42.43PM_12.jpg?v=1615308307
216,silk-brocade-fabric-13,Silk Brocade Fabric,Saroj Fabrics,Brocade,Mustard yellow with gold and maroon red medalliaon butta brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.46.47PM_19.jpg?v=1615307181
218,brocade-fabric-15,Brocade Fabric,Saroj Fabrics,Brocade,"Grey with black flower, stem and leaf prints and mutted gold flower brocade on silk",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_18.jpg?v=1615307022
222,brocade-fabric-13,Brocade Fabric,Saroj Fabrics,Brocade,Teal blue with a gold and green wreath motif brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.47.27PM_5.jpg?v=1615140056
224,brocade-fabric-12,Brocade Fabric,Saroj Fabrics,Brocade,Brown with diamond large square pasiley motif and green vines brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.42.43PM.jpg?v=1615139999
226,brocade-fabric-11,Brocade Fabric,Saroj Fabrics,Brocade,Old gold yellow with gold flower and stem motif brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_21.jpg?v=1615139964
228,brocade-fabric-10,Brocade Fabric,Saroj Fabrics,Brocade,Gray brown with dual toned gold and silver flower and stem motif brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.13PM_10.jpg?v=1615139890
230,brocade-fabric-9,Brocade Fabric,Saroj Fabrics,Brocade,Gray with mutted gold and yellow silk thread brocade design on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_12.jpg?v=1615139845
232,brocade-fabric-8,Brocade Fabric,Saroj Fabrics,Brocade,old gold yellow with gold big motif brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_9.jpg?v=1615139789